SchoolID, TeacherID, SubjectID, SubjectCode, SubjectName, YearID, DivisionID, Division, SemesterID, Semester, BranchID, Branch,DepartmentID, Department, CourseLevel, AcademicYear
COEP,410319001,289,PH-11003,Engineering Physics-II LAB,10,4294,Div-5,4,Semester II,2,Civil Engineering,9,,UG,2014
COEP,410901022,412,CE-11002,Engineering Mechanics Lab,10,4294,Div-5,4,Semester II,2,Civil Engineering,9,,UG,2014
COEP,410901022,412,CE-11002,Engineering Mechanics Lab,10,4294,Div-5,14,Semester II,7,Mechanical Engineering,4,,UG,2014
COEP,410901022,412,CE-11002,Engineering Mechanics Lab,10,4294,Div-5,16,Semester II,8,Metallurgical Engineering,3,,UG,2014
COEP,411401090,412,CE-11002,Engineering Mechanics Lab,10,4292,Div-3,14,Semester II,7,Mechanical Engineering,4,,UG,2014
COEP,411401090,412,CE-11002,Engineering Mechanics Lab,10,4292,Div-3,16,Semester II,8,Metallurgical Engineering,3,,UG,2014
COEP,411401090,412,CE-11002,Engineering Mechanics Lab,10,4292,Div-3,4,Semester II,2,Civil Engineering,9,,UG,2014
COEP,411502070,285,CT-11002,Computer Programming LAB,10,4293,Div-4,26,Semester II,9,Production Engineering (Sandwich),2,,UG,2014
COEP,411502070,284,CT-11001,Fundamentals of Computer Programminng,10,4293,Div-4,26,Semester II,9,Production Engineering (Sandwich),2,,UG,2014
COEP,411502070,285,CT-11002,Computer Programming LAB,10,4293,Div-4,16,Semester II,8,Metallurgical Engineering,3,,UG,2014
COEP,411502070,284,CT-11001,Fundamentals of Computer Programminng,10,4293,Div-4,16,Semester II,8,Metallurgical Engineering,3,,UG,2014
COEP,411502070,285,CT-11002,Computer Programming LAB,10,4293,Div-4,14,Semester II,7,Mechanical Engineering,4,,UG,2014
COEP,411502070,284,CT-11001,Fundamentals of Computer Programminng,10,4293,Div-4,14,Semester II,7,Mechanical Engineering,4,,UG,2014
COEP,411502070,285,CT-11002,Computer Programming LAB,10,4293,Div-4,4,Semester II,2,Civil Engineering,9,,UG,2014
COEP,411502070,284,CT-11001,Fundamentals of Computer Programminng,10,4293,Div-4,4,Semester II,2,Civil Engineering,9,,UG,2014
COEP,419803009,413,EE-11003,Basic Electrical Engineering,10,4295,Div-6,28,Semester II,1,Electrical Engineering,7,,UG,2014
COEP,419803009,295,EE-11002,Basic Electrical Engineering -LAB,10,4295,Div-6,28,Semester II,1,Electrical Engineering,7,,UG,2014
COEP,419803009,413,EE-11003,Basic Electrical Engineering,10,4299,Div-10,28,Semester II,1,Electrical Engineering,7,,UG,2014
COEP,419803009,295,EE-11002,Basic Electrical Engineering -LAB,10,4299,Div-10,28,Semester II,1,Electrical Engineering,7,,UG,2014
COEP,10810001,285,CT-11002,Computer Programming LAB,10,4290,Div-1,26,Semester II,9,Production Engineering (Sandwich),2,,UG,2014
